dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
electricity/W/short,TimesFM-3,38942931618.47928,38942931618.47928,26409.356770833332,1.3946604022519418,0.11015077978103113,0.08917842246193101,11.015923689880369,197339.63519394497,0.4502639249882466,0.060257437003791534,0.04779734509651016,Energy,1
ett1/15T/short,TimesFM-3,4.603568921770369,4.603568921770369,1.043434797014509,0.6611658920289012,0.4869189100509744,0.22976237478710357,4.519079232022255,2.145592906813958,0.4056063588859738,0.19725260435374722,0.1517692671302741,Energy,7
ett1/15T/medium,TimesFM-3,8.516785714285714,8.516785714285714,1.5360435267857142,0.9672964173825116,0.7273186811616533,0.3806370907738095,6.275939169906736,2.9183532538549395,0.5562409499483667,0.2927713803572988,0.22368833120854387,Energy,7
ett1/15T/long,TimesFM-3,8.069854910714286,8.069854910714286,1.5141818576388888,0.9750748083108454,0.732471150644148,0.38293464781746034,6.770215775756156,2.8407490052298328,0.5414495691664463,0.2886045592021231,0.22270119101097785,Energy,7
ett1/D/short,TimesFM-3,39643.15555555555,39643.15555555555,134.04327876984127,1.6757300377933606,1.1330626472594245,0.4770406087239583,10.340149289147814,199.10589030853797,0.5229582253052303,0.35206911794997003,0.2710339601399255,Energy,7
ett1/H/short,TimesFM-3,94.9041492280506,94.9041492280506,4.903433518182664,0.8157471446268216,0.45343907220023016,0.26093342644827705,5.550646201304904,9.741876063061499,0.4546932115288185,0.2288633030709963,0.17659745438541846,Energy,7
ett1/H/medium,TimesFM-3,138.67389322916668,138.67389322916668,7.006027367001488,1.2695439862011253,3927635256377.9854,0.43713131859188986,8.321418326586826,11.775987993759449,0.5640419100199978,0.33557210315007546,0.25559327911163865,Energy,7
ett1/H/long,TimesFM-3,156.40446428571428,156.40446428571428,7.529991319444444,1.3951233182099523,2960160832121.811,0.46835488617104826,8.886675163301545,12.506177045193079,0.5988937321953459,0.36059497545926655,0.27271633654074157,Energy,7
ett1/W/short,TimesFM-3,1072123.4285714286,1072123.4285714286,833.8991350446429,1.4723008077082598,0.5810699462890625,0.5410121168409076,8.645795113102631,1035.433932499524,0.41202387521870204,0.3318283691294572,0.24962740272308656,Energy,7
ett2/15T/short,TimesFM-3,6.743498084658668,6.743498084658668,1.6289864676339285,0.7091468390429535,0.10117690727132653,0.12085216613042922,4.685831640247628,2.596824615690992,0.12328050599788665,0.07733378480016591,0.05985253119307307,Energy,7
ett2/15T/medium,TimesFM-3,11.101850198412698,11.101850198412698,2.073082217261905,0.8554028745214364,0.1296415305723362,0.15715322343129962,6.42173487467601,3.3319439068526795,0.17756531031744976,0.11047829660776239,0.08754189417288916,Energy,7
ett2/15T/long,TimesFM-3,10.709031498015873,10.709031498015873,2.079150390625,0.8666702380324566,0.13331611292108367,0.16165533156622025,6.864053124916462,3.272465660326457,0.17439560710610652,0.11080168052910093,0.08965464374683489,Energy,7
