dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_quarterly/Q/short,Granite-PatchTST-FM-r2,1869650.996,1869650.996,567.7380065104167,1.1883333864814523,0.11458396689097086,0.10367115608851114,9.1475314964594,1367.3518186626293,0.2288706161610164,0.09502934474841716,0.07576605059692496,Econ/Fin,1
m4_weekly/W/short,Granite-PatchTST-FM-r2,261240.29312191985,261240.29312191985,252.28822048425113,2.08104689259192,0.06100471714004245,0.0616227847390086,14.32694358436684,511.1167118397909,0.0931175439482073,0.045963003976127,0.036482139308732335,Econ/Fin,1
m4_yearly/A/short,Granite-PatchTST-FM-r2,3911937.092017063,3911937.092017063,938.1136193813296,3.4990580988303663,0.17025818648622945,0.15849253434001084,31.62459690972995,1977.861747447749,0.31715929927233183,0.15043086734689665,0.12286996046114099,Econ/Fin,1
m_dense/D/short,Granite-PatchTST-FM-r2,6602.5429629629625,6602.5429629629625,38.3488599537037,0.5991144948484245,0.11102064173693477,0.08684504756221065,6.247122792277094,81.25603339422226,0.14066621314720296,0.06638754911931857,0.05539872854826343,Transport,1
m_dense/H/long,Granite-PatchTST-FM-r2,33557.94962962963,33557.94962962963,76.12345679012346,0.6629830187518215,0.2482080883889594,0.1828618103780864,6.698258324579418,183.18829009963935,0.3171260103159481,0.13178095679685503,0.10843837489571063,Transport,1
m_dense/H/medium,Granite-PatchTST-FM-r2,36534.25555555556,36534.25555555556,77.768046875,0.675742937262987,0.25520633157641454,0.1857771470811632,7.628617666740277,191.1393616070629,0.3325583413037316,0.13530657661370563,0.11246142701108248,Transport,1
m_dense/H/short,Granite-PatchTST-FM-r2,44881.60444444444,44881.60444444444,85.81762152777777,0.7662476950573333,0.2833030726751534,0.20357640584309897,8.84328327688847,211.8527895602143,0.3757740583482827,0.15221907620963493,0.12677312174857625,Transport,1
restaurant/D/short,Granite-PatchTST-FM-r2,139.27367609974783,139.27367609974783,7.077907560474456,0.6809871887838086,0.6608357485173251,0.3921526403579434,4.63963434560836,11.801426867110088,0.5431290080557224,0.3257417052800798,0.2550451660518068,Sales,1
saugeen/D/short,Granite-PatchTST-FM-r2,1065.43625,1065.43625,11.942752278645834,2.6531536538814846,0.26532933553059895,0.310426025390625,25.363769131710534,32.641020970551764,1.05725044646269,0.38682859185020696,0.3174595621655192,Nature,1
saugeen/M/short,Granite-PatchTST-FM-r2,409.1460658482143,409.1460658482143,12.523011707124256,0.7338100896717343,0.3356657936459496,0.36063648405529203,4.529601683651524,20.227359339474205,0.6072860088806918,0.3759783801311237,0.2845480158196384,Nature,1
saugeen/W/short,Granite-PatchTST-FM-r2,941.96982421875,941.96982421875,14.174742126464844,1.149946762544431,0.3572216510772705,0.3666297674179077,8.834294462803019,30.69152691246804,0.9264492606348244,0.4278763777444345,0.34004476577807885,Nature,1
solar/10T/long,Granite-PatchTST-FM-r2,21.138977595296026,21.138977595296026,1.8316749690319596,0.8048452736807927,3.6568678736698943,1.4461286791821006,4.018148220185963,4.597714388182027,0.9937223097110037,0.39588720115909215,0.2957378693359558,Energy,1
solar/10T/medium,Granite-PatchTST-FM-r2,21.406855507631054,21.406855507631054,1.8128407276459855,0.794740430910314,3.6923179799240167,1.4448062557630603,3.8628241251945115,4.6267543167571645,1.0266951179197723,0.40227654144056163,0.30047520864631244,Energy,1
solar/10T/short,Granite-PatchTST-FM-r2,21.18623355763382,21.18623355763382,1.912880615828391,0.8453418566893308,4.571840231539838,1.512523582439933,3.6694896480696806,4.60285059040958,1.3389687382923858,0.556456763992374,0.41740159354584727,Energy,1
solar/D/short,Granite-PatchTST-FM-r2,126500.2900243309,126500.2900243309,248.55200729927006,0.9694090429482383,1.0779347960386254,0.4223847549327098,4.890460468124294,355.6687925926745,0.5138202629494135,0.3590729926462092,0.27032965297653117,Energy,1
solar/H/long,Granite-PatchTST-FM-r2,762.6866180048662,762.6866180048662,11.38393907137064,0.8658457741866963,4.824872861480732,1.3887445825729927,4.339536609133027,27.616781456296934,0.9575241432438117,0.3947019142438307,0.29380172006018196,Energy,1
solar/H/medium,Granite-PatchTST-FM-r2,813.0941605839416,813.0941605839416,11.118212059002433,0.849843009827258,4.592063093584594,1.3886004588690608,4.277695773606869,28.514805988888327,1.0271698656026473,0.40050394839921166,0.301648843982768,Energy,1
solar/H/short,Granite-PatchTST-FM-r2,771.8769048533743,771.8769048533743,11.271096701322193,0.8693970886307478,4.48088644510903,1.396442606287617,4.184044567644575,27.78267274495696,1.0240785988700645,0.4154563898001569,0.30698835874960334,Energy,1
solar/W/short,Granite-PatchTST-FM-r2,2118894.9489051094,2118894.9489051094,1113.8387317518248,1.2027585016191165,0.2490559320380218,0.21163653631279938,6.430114899467292,1455.6424522887169,0.29713301736951664,0.22736233249318016,0.16726747825518778,Energy,1
sz_taxi/15T/long,Granite-PatchTST-FM-r2,15.609431757478632,15.609431757478632,2.7211630275106837,0.5127327288185541,6357602702611.984,0.4034683618790064,4.173431641922921,3.950877340221869,0.36568616884517746,0.2518660025718857,0.20160831233652765,Transport,1
sz_taxi/15T/medium,Granite-PatchTST-FM-r2,16.312496661324786,16.312496661324786,2.7666170038728635,0.5397730737916422,9642642088986.256,0.40845842932024573,3.9134419661031097,4.0388731920332415,0.37588456538474846,0.2574798912077968,0.20343793770436905,Transport,1
sz_taxi/15T/short,Granite-PatchTST-FM-r2,16.64712647378663,16.64712647378663,2.7251787942553323,0.5438590498624594,954541158755.208,0.39423018468314186,3.8078804283731618,4.080089027679008,0.3815057739060035,0.254815872369833,0.19997275239284484,Transport,1
sz_taxi/H/short,Granite-PatchTST-FM-r2,7.091482309194712,7.091482309194712,1.8404207148103633,0.5591250359606305,1.1651235727163463,0.29515180017194176,3.9299379722232333,2.662983723043517,0.24807336677522646,0.1714465466142899,0.1352341846133996,Transport,1
temperature_rain/D/short,Granite-PatchTST-FM-r2,186.6592629247695,186.6592629247695,5.809006226399287,1.3497553453475044,17.49306053319635,1.5245841265037223,18.66262206639114,13.662330069383096,1.6084174519423668,0.6838736105432394,0.551813355564681,Nature,1
us_births/D/short,Granite-PatchTST-FM-r2,137692.56,137692.56,214.61029947916666,0.3159120585029021,0.02070172627766927,0.02046094576517741,2.455109065945175,371.06948136433965,0.03478475282274062,0.02011797411403763,0.01630891620811695,Healthcare,1
us_births/M/short,Granite-PatchTST-FM-r2,23090954.666666668,23090954.666666668,3827.0338541666665,0.4324868784497941,0.011884101976950964,0.011945334573586782,4.054994957299236,4805.304846382451,0.014925244090709344,0.011886741058654482,0.009831167988748482,Healthcare,1
us_births/W/short,Granite-PatchTST-FM-r2,2293462.0,2293462.0,1171.1361607142858,1.0647885217223585,0.015839365976197377,0.01588340529373714,6.545801729390042,1514.418040040464,0.02055807639815817,0.01589805854661282,0.012408091441172461,Healthcare,1
